Disaster Type,Disaster Subtype,ISO,Country,Subregion,Region,Location,Origin,Associated Types,River Basin,Start Date,End Date,Duration
Flood,Flash flood,CHN,China,Eastern Asia,Asia,Yuzhong county (Gansu province),Heavy rain,"Slide (land, mud, snow, rock)",,2025-08-07,2025-08-08,1
Flood,Flood (General),JPN,Japan,Eastern Asia,Asia,"Kagoshima, Toyama, Akita, Ishikawa, Kumamoto, Fukuoaka prefectures",,"Slide (land, mud, snow, rock)",,2025-08-06,2025-08-08,2
Flood,Flash flood,MMR,Myanmar,South-eastern Asia,Asia,Laiza,Heavy rain,,,2025-08-04,2025-08-06,2
Flood,Flood (General),GNQ,Equatorial Guinea,Sub-Saharan Africa,Africa,Malabo (Bioko Norte province) and Luba (Bioko Sur province),Heavy rain,,,2025-08-02,2025-08-05,3
Flood,Flood (General),TWN,Taiwan (Province of China),Eastern Asia,Asia,,Torrential rain due to Co-may typhoon,"Slide (land, mud, snow, rock)",,2025-07-28,2025-08-04,7
Flood,Flood (General),ROU,Romania,Eastern Europe,Europe,"Suceava, Neamt counties",Heavy rain,,,2025-07-28,2025-07-28,0
Flood,Flash flood,NGA,Nigeria,Sub-Saharan Africa,Africa,Yola (Adamawa State),Heavy rain,,,2025-07-27,2025-07-27,0
Flood,Flood (General),CHN,China,Eastern Asia,Asia,"Yanqing, Beijing, Hebei province, Shanxi province, Shandong province.",Heavy rain,,,2025-07-23,2025-07-29,6
Flood,Flood (General),HKG,"China, Hong Kong Special Administrative Region",Eastern Asia,Asia,,,Flood,,2025-07-20,2025-07-20,0
Flood,Flood (General),LAO,Lao People's Democratic Republic,South-eastern Asia,Asia,"Vientiane, Bolikhamxay, Luang Prabang, Xayaboury, Xieng Khouang, Huaphan, Xaysomboun, Khammouane, and Bokeo",Heavy and prolonged rainfall,,,2025-07-16,2025-08-04,19
Flood,Flood (General),KOR,Republic of Korea,Eastern Asia,Asia,"South Chungcheong , Naju, Gwangju, Seoul, Honseong, and Gyeonggi Provinces",Torrential rain,"Slide (land, mud, snow, rock)",,2025-07-16,2025-07-21,5
Flood,Flood (General),MEX,Mexico,Latin America and the Caribbean,Americas,La Martinica (Jalisco State),Torrential rain,"Slide (land, mud, snow, rock)",,2025-07-15,2025-07-15,0
Flood,Flash flood,USA,United States of America,Northern America,Americas,"New York; Middlesex, Union, and Somerset (New Jersey); Washington DC, Petersburg (Virginia); Maryland, for Lancaster County (Pennsylvania)",Heavy rains,Lightening,,2025-07-11,2025-07-15,4
Flood,Flash flood,USA,United States of America,Northern America,Americas,Ruidoso (New Mexico),Torrential rain,,Rio Ruidoso river,2025-07-08,2025-07-08,0
Flood,Flood (General),BGD,Bangladesh,Southern Asia,Asia,"Feni, Cumilla, Banderban, Lakshmipur and Barishal",Monsoonal rain,,,2025-07-07,2025-07-10,3
Flood,Flood (General),IDN,Indonesia,South-eastern Asia,Asia,"Bogor, West Java and East Jakarta",Heavy rainfall and overflow of rivers,"Slide (land, mud, snow, rock)",,2025-07-05,2025-07-06,1
Flood,Flash flood,USA,United States of America,Northern America,Americas,Kerr county (Texas),Remnants from Tropical Storm Barry.,,Guadalupe,2025-07-04,2025-07-07,3
Flood,Flood (General),AFG,Afghanistan,Southern Asia,Asia,Maidan Wardak and Logar provinces,Heavy rains,,,2025-06-30,2025-07-04,4
Flood,Flash flood,PAK,Pakistan,Southern Asia,Asia,"Khyber Pakhtunkhwa, Punjab, Azad Jammu and Kashmir, Sindh, and Balochistan",Monsoonal rain,,Swat river,2025-06-26,2025-09-11,77
Flood,Flash flood,IND,India,Southern Asia,Asia,"Himachal Pradesh, Uttarakhand",Monsoonal rains,"Slide (land, mud, snow, rock)",,2025-06-20,2025-07-07,17
Flood,Flash flood,COD,Democratic Republic of the Congo,Sub-Saharan Africa,Africa,"Ngaliema, Masina, Lemba, Matete communes (Kinshasa)",Torrential rain,,,2025-06-14,2025-06-16,2
Flood,Flood (General),ZAF,South Africa,Sub-Saharan Africa,Africa,Eastern Cape and KwaZulu-Natal provinces,Heavy rain,"Slide (land, mud, snow, rock)",,2025-06-09,2025-06-20,11
Flood,Flash flood,USA,United States of America,Northern America,Americas,San Antonio (Texas),Heavy rain,,,2025-06-08,2025-06-14,6
Flood,Flood (General),VNM,Viet Nam,South-eastern Asia,Asia,"Lai Châu, Hà Giang, and Lào Cai",Heavy rains,"Slide (land, mud, snow, rock)",,2025-06-07,2025-06-11,4
Flood,Flood (General),PHL,Philippines,South-eastern Asia,Asia,Zamboanga Peninsula region (Mindanao) and Luzon islands,Heavy rain,,,2025-06-07,2025-06-09,2
Flood,Flood (General),IND,India,Southern Asia,Asia,"Assam, Arunachal Pradesh, Mizoram, Manipur, Sikkim, Meghalaya Nagaland, Tripura, Meghalaya states",Monsoonal rain,"Slide (land, mud, snow, rock)",,2025-05-31,2025-06-01,1
Flood,Flood (General),NGA,Nigeria,Sub-Saharan Africa,Africa,Mokwa city (Niger state),Heavy rain,,,2025-05-29,2025-06-02,4
Flood,Flood (General),THA,Thailand,South-eastern Asia,Asia,,Heavy rains,,,2025-05-24,2025-05-24,0
Flood,Flood (General),IDN,Indonesia,South-eastern Asia,Asia,Arfak Mountains Regency (West Papua),Heavy rain,"Slide (land, mud, snow, rock)",,2025-05-16,2025-05-16,0
Flood,Flood (General),BGD,Bangladesh,Southern Asia,Asia,"Sylhet, Sunamganj, Moulvibazar, Netrokona, Khagrachari, Habiganj, Noakhali, Bhola, Bandarban, and Rangamati.",Heavy rains,"Slide (land, mud, snow, rock)",,2025-05-15,2025-06-01,17
Flood,Flood (General),TZA,United Republic of Tanzania,Sub-Saharan Africa,Africa,"Kyela, Rungwe, and Ileje districts (Mbeya Region)",Heavy rains,,,2025-05-14,2025-05-15,1
Flood,Flood (General),DZA,Algeria,Northern Africa,Africa,"Laghouat, Tiaret, Djelfa, M'Sila",Torrential rain,Lightening|Storm,,2025-05-14,2025-05-16,2
Flood,Flood (General),THA,Thailand,South-eastern Asia,Asia,"Nakhon Sawan, Phichit, Phitsanulok, Phetchabun, Kalasin, Amnat Charoen, Nakhon Ratchasima, and Sa Kaeo provinces",Heavy rains,"Slide (land, mud, snow, rock)|Storm",,2025-05-14,2025-05-14,0
Flood,Flood (General),SOM,Somalia,Sub-Saharan Africa,Africa,"Kahda and Daynile districts; Mogadiscio (Banaadir region); Balcad and Jowhar in Hirshabelle State, and Gaalkacyo in Mudug region and Afgooye (South West State); Puntland State",Torrential rain,,,2025-05-09,2025-05-10,1
Flood,Flood (General),COD,Democratic Republic of the Congo,Sub-Saharan Africa,Africa,Kasaba (South Kivu),Heavy rains,"Slide (land, mud, snow, rock)","Kasaba river, Tanganyika lake",2025-05-08,2025-05-09,1
Flood,Flood (General),IDN,Indonesia,South-eastern Asia,Asia,Lampung Province (southern Sumatra),,,,2025-04-28,2025-04-28,0
Flood,Flash flood,SOM,Somalia,Sub-Saharan Africa,Africa,"Puntland and South West States; Jowhar district, Middle Shabelle region",Heavy rains,,Shabelle and Juba rivers,2025-04-15,2025-04-30,15
Flood,Flood (General),COD,Democratic Republic of the Congo,Sub-Saharan Africa,Africa,Tanganyika Province,Heavy rains,,Rugumba River,2025-04-11,2025-04-11,0
Flood,Flood (General),COD,Democratic Republic of the Congo,Sub-Saharan Africa,Africa,Kinshasa capital city,,"Slide (land, mud, snow, rock)",Ndjili river,2025-04-04,2025-04-11,7
Flood,Flood (General),BRA,Brazil,Latin America and the Caribbean,Americas,"Petrópolis, Angra dos Reis, São Paulo, Rio de Janeiro",Heavy rains,"Slide (land, mud, snow, rock)",,2025-04-03,2025-04-05,2
Flood,Flood (General),IDN,Indonesia,South-eastern Asia,Asia,"Sulawesi, north Sumatra, north Maluku and east Java,",Heavy rains,"Slide (land, mud, snow, rock)",,2025-04-01,2025-04-07,6
Flood,Flood (General),HRV,Croatia,Southern Europe,Europe,Dubrovnik city area,,"Slide (land, mud, snow, rock)",,2025-03-26,2025-03-31,5
Flood,Flood (General),BIH,Bosnia and Herzegovina,Southern Europe,Europe,Prijedor and Sanski (Slavonia region),Heavy rains,,"Bosna, Una, Sava, Sana, Ukrina rivers",2025-03-26,2025-03-31,5
Flood,Flood (General),MYS,Malaysia,South-eastern Asia,Asia,"Johor Bahru, Kulai, Pontian, Kota Tinggi, Kluang, Batu Pahat, and Iskandar Puteri (Johor state); Sabah and Sarawak states",,"Slide (land, mud, snow, rock)",,2025-03-20,2025-03-21,1
Flood,Flood (General),IDN,Indonesia,South-eastern Asia,Asia,Madiun regency (East Java); West Java,Heavy rains,"Slide (land, mud, snow, rock)",,2025-03-15,2025-03-17,2
Flood,Flood (General),ITA,Italy,Southern Europe,Europe,"Florence, Prato, Pisa, and Livorno (Toscane); Emilia-Romagna",Heavy rains,"Slide (land, mud, snow, rock)",,2025-03-14,2025-03-16,2
Flood,Flood (General),MYS,Malaysia,South-eastern Asia,Asia,"Tenom, Beaufort, Membakut, and Soo (Sabah, northern Borneo Island)",,,,2025-03-08,2025-03-12,4
Flood,Flood (General),IRQ,Iraq,Western Asia,Asia,"Anbar, Diyala, Erbil, Qadisiyah, Thi-Qar",Heavy rains,,,2025-03-07,2025-03-10,3
Flood,Flood (General),ARG,Argentina,Latin America and the Caribbean,Americas,Bahia Blanca city area (Buenos Aires province),Heavy rains,,,2025-03-06,2025-03-10,4
Flood,Flood (General),IDN,Indonesia,South-eastern Asia,Asia,"Bogor regency (West Java province); Sukabumi Regency (West Java) ; Banten, Jakarta, West Java, South Kalimantan, West Sumatra provinces",Heavy rains,"Slide (land, mud, snow, rock)","Ciliwung, Cikeas, Cilengsih and Kali Angke rivers",2025-03-02,2025-03-09,7
Flood,Flood (General),PER,Peru,Latin America and the Caribbean,Americas,"Amazonas, Áncash, Apurímac, Arequipa, Ayacucho, Cusco, Huancavelica, Huánuco, Ica, Junín, La Libertad, Lima, Moquegua, Pasco, Piura, Tacna, Tumbes, and Ucayali provinces",Heavy rains,,,2025-03-01,2025-03-06,5
Flood,Flood (General),NAM,Namibia,Sub-Saharan Africa,Africa,"Kunene, Omusati, Oshana, Ohangwena, and Zambezi regions",Heavy rains,,,2025-03-01,2025-04-08,38
Flood,Flash flood,AFG,Afghanistan,Southern Asia,Asia,Farah region; Pushtkoh district; Kandahar province; Helmand province,Heavy rains,,,2025-02-24,2025-02-26,2
Flood,Flash flood,BWA,Botswana,Sub-Saharan Africa,Africa,"Gaborone city area, Kgatleng, Ghanzi, Tlokweng (South-East), Francistown, Kweneng, and Boteti,",Heavy rains,,,2025-02-19,2025-02-21,2
Flood,Flood (General),MYS,Malaysia,South-eastern Asia,Asia,Pahang and Negeri Sembilan states,Heavy rains,,,2025-02-19,2025-02-20,1
Flood,Flood (General),PER,Peru,Latin America and the Caribbean,Americas,Tiquillaca district (Puno region),Heavy rains,,,2025-02-17,2025-02-21,4
Flood,Flood (General),MDG,Madagascar,Sub-Saharan Africa,Africa,Analamanga region,Heavy rains,,Sisaony and the Ikopa rivers,2025-02-15,2025-02-28,13
Flood,Flood (General),MDG,Madagascar,Sub-Saharan Africa,Africa,Antananarivo city area,Heavy rains,,Sisaony River,2025-02-15,2025-02-16,1
Flood,Flood (General),PHL,Philippines,South-eastern Asia,Asia,"Mimaropa, Eastern Visayas, and Bicol regions","Heavy rains, Shear Line",,,2025-02-07,2025-02-19,12
Flood,Flood (General),BOL,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,"Chuquisaca, La Paz, Tarija, Cochabamba, Santa Cruz and Potosí",Heavy rains,"Slide (land, mud, snow, rock)",,2025-02-05,2025-02-13,8
Flood,Flood (General),MYS,Malaysia,South-eastern Asia,Asia,Sabah and Sarawak states,Heavy rains,,,2025-01-28,2025-01-30,2
Flood,Flash flood,BRA,Brazil,Latin America and the Caribbean,Americas,Carapicuíba (São Paulo state),Heavy rain,Storm,,2025-01-24,2025-01-25,1
Flood,Flood (General),HTI,Haiti,Latin America and the Caribbean,Americas,"Grand'Anse, Nippes and North-West departments",Heavy rains,,,2024-12-20,2024-12-28,8
Flood,Flood (General),LBY,Libya,Northern Africa,Africa,"Tarhuna city, Bani Walid city, Bani Walid district, Gharyan city, Jabal al Gharbi district, Qasr Akhyar, Ain Zara",Heavy rain,,,2024-12-05,2024-12-09,4
