ISO,Country,Subregion,Region,Location,River Basin,Start Date,End Date,Duration,Language_ISO_639_3,Local_Languages
IRQ,Iraq,Western Asia,Asia,"Ninawa, Sulaymaniyah, Erbil, and Kirkuk governorates",,2025-12-09,2025-12-12,3.0,"arb, ckb","Arabic, Central Kurdish"
MYS,Malaysia,South-eastern Asia,Asia,"Sabah, Sarawak Kelantan, Perlis, Perak, Selangor, Kedah, Penang, Terengganu, and Pahang states",,2025-11-22,2025-12-03,11.0,zlm,Malay
THA,Thailand,South-eastern Asia,Asia,"Phra Nakhon Si Ayutthaya province; Tha Din Daeng subdistrict in Bangkok; Chaiya and Kathu districts (Malay Peninsula); hitsanulok, Nakhon Sawan, Uthai Thani, Sing Buri, Chainat, Ang Thong, Suphan Buri, Pathum Thani, Nonthaburi and Nakhon Pathom provinces; Surat Thani, Nakhon Si Thammarat, Trang, Phatthalung, Satun, Songkhla, Pattani, Yala, Narathiwat Prachuap Khiri Khan, Chumphon, Krabi",,2025-11-15,2025-11-27,12.0,tha,Thai
COD,Democratic Republic of the Congo,Sub-Saharan Africa,Africa,Kinshasa capital city area,"N'djili, Nsanga and Makelele rivers",2025-11-11,2025-11-12,1.0,"fra, lin, swa, kon, lua","French, Lingala, Swahili, Kongo, Luba-Kasai"
IDN,Indonesia,South-eastern Asia,Asia,Nduga district (Papua province),,2025-11-01,2025-11-02,1.0,ind,Indonesian
CRI,Costa Rica,Latin America and the Caribbean,Americas,"Alajuela; Cartago; Cuajiniquil, Santa Cruz Veintisiete de Abril, Santa Cruz, Tempate, Santa Cruz, Tamarindo, Nosara, Nicoya (Guanacaste); Sierpe de Osa, Puerto Jiménez, Bahía Drake, Corredor, Corredores, Guaycará, Golfito, Jacó, Garabito (Puntarenas)",,2025-10-25,2025-10-31,6.0,spa,Spanish
HND,Honduras,Latin America and the Caribbean,Americas,"Francisco Morazán, La Paz, Intibucá, and Lempira departments",,2025-10-17,2025-10-20,3.0,spa,Spanish
MEX,Mexico,Latin America and the Caribbean,Americas,"Veracruz, Puebla, Hidalgo, San Luis Potosí, and Querétaro states",,2025-10-06,2025-10-09,3.0,spa,Spanish
NPL,Nepal,Southern Asia,Asia,Ilam district (Koshi province); Jhapa District,,2025-10-03,2025-10-05,2.0,npi,Nepali
IND,India,Southern Asia,Asia,Darjeeling (West Bengal); Bihar states,,2025-10-03,2025-10-07,4.0,"hin, eng","Hindi, English"
BGR,Bulgaria,Eastern Europe,Europe,Elenite (Burgas province),,2025-10-03,2025-10-03,0.0,bul,Bulgarian
KHM,Cambodia,South-eastern Asia,Asia,Mondulkiri and Ratanakiri provinces,,2025-10-01,2025-10-02,1.0,khm,Khmer
UKR,Ukraine,Eastern Europe,Europe,Odesa city (Odesa Oblast),,2025-09-30,2025-09-30,0.0,ukr,Ukrainian
GEO,Georgia,Western Asia,Asia,Lagodekhi (Kakheti municipality),,2025-09-28,2025-10-06,8.0,kat,Georgian
THA,Thailand,South-eastern Asia,Asia,"Ayutthaya, Phichit, and Phetchabun",Chao Praya River basin,2025-09-23,2025-09-24,1.0,tha,Thai
IDN,Indonesia,South-eastern Asia,Asia,Central Papua and East Java,,2025-09-19,2025-09-20,1.0,ind,Indonesian
HTI,Haiti,Latin America and the Caribbean,Americas,"Chansolme, Port-de-Paix communes",,2025-09-16,2025-09-17,1.0,"hat, fra","Haitian Creole, French"
IND,India,Southern Asia,Asia,"Dehradun, Champawat, Haridwar, Pauri Garhwal, Bageshwar, Pithoragarh, Nainital, and Udham Singh Nagar districts (Uttarakhand State)",,2025-09-15,2025-09-17,2.0,"hin, eng","Hindi, English"
GMB,Gambia,Sub-Saharan Africa,Africa,North Bank region,,2025-09-10,2025-09-11,1.0,"eng, mnk, wol","English, Mandinka, Wolof"
MYS,Malaysia,South-eastern Asia,Asia,Sarawak and Sabah states (Borneo Island),,2025-09-08,2025-09-15,7.0,zlm,Malay
IDN,Indonesia,South-eastern Asia,Asia,"Gianyar, Karangasem, Jembrana, Tabanan, Klungkung, and Badung, with Denpasar (Bali); Flores",,2025-09-08,2025-09-12,4.0,ind,Indonesian
SLE,Sierra Leone,Sub-Saharan Africa,Africa,"Bonthe, Kenema, Bo, Moyamba, Kono, Falaba, and Koinadugu",,2025-08-31,2025-09-05,5.0,"eng, men, tem","English, Mende, Temne"
GMB,Gambia,Sub-Saharan Africa,Africa,"West Coast region, Lower River regions, and Kanifing Municipality (West Banjul region)",Upper River and Central River regions,2025-08-30,2025-09-09,10.0,"eng, mnk, wol","English, Mandinka, Wolof"
SDN,Sudan,Northern Africa,Africa,"River Nile, Sennar States",,2025-08-27,2025-08-28,1.0,"arb, eng","Arabic, English"
COD,Democratic Republic of the Congo,Sub-Saharan Africa,Africa,Kalehe territory (South Kivu province),,2025-08-25,2025-08-27,2.0,"fra, lin, swa, kon, lua","French, Lingala, Swahili, Kongo, Luba-Kasai"
UGA,Uganda,Sub-Saharan Africa,Africa,"Bulambuli, Sironko, Mbale districts and Mbale city (Mount Elgon sub-region in Eastern Uganda)",,2025-08-17,2025-08-19,2.0,"eng, swa, lug","English, Swahili, Ganda"
CHN,China,Eastern Asia,Asia,"Ordos, Bayannnur city (Inner Mongolia autonomous region)",,2025-08-16,2025-08-19,3.0,cmn,Mandarin Chinese
IND,India,Southern Asia,Asia,Punjab state,,2025-08-15,2025-09-19,35.0,"hin, eng","Hindi, English"
PAK,Pakistan,Southern Asia,Asia,"Bunner, Bhattagram, Bajur, and Swat districts (Khyber Pakhtunkhwa) Gilgit-Baltistan, Sindh, Azad Jammu and Kashmir provinces",,2025-08-15,2025-08-20,5.0,"urd, eng","Urdu, English"
IND,India,Southern Asia,Asia,Kishtwar (Jammu and Kashmir state),,2025-08-14,2025-08-15,1.0,"hin, eng","Hindi, English"
KOR,Republic of Korea,Eastern Asia,Asia,"Incheon, Gimpo, and Pocheon cities (Gyeonggi Province); Seoul",,2025-08-13,2025-08-19,6.0,kor,Korean
CAF,Central African Republic,Sub-Saharan Africa,Africa,Moyenne Sido (prefecture of Ouham),,2025-08-12,2025-08-19,7.0,"fra, sag","French, Sango"
CPV,Cabo Verde,Sub-Saharan Africa,Africa,São Vicente and Santo Antão Islands,,2025-08-10,2025-08-11,1.0,por,Portuguese
CHN,China,Eastern Asia,Asia,Yuzhong county (Gansu province),,2025-08-07,2025-08-08,1.0,cmn,Mandarin Chinese
JPN,Japan,Eastern Asia,Asia,"Kagoshima, Toyama, Akita, Ishikawa, Kumamoto, Fukuoaka prefectures",,2025-08-06,2025-08-08,2.0,jpn,Japanese
MMR,Myanmar,South-eastern Asia,Asia,Laiza,,2025-08-04,2025-08-06,2.0,mya,Burmese
GNQ,Equatorial Guinea,Sub-Saharan Africa,Africa,Malabo (Bioko Norte province) and Luba (Bioko Sur province),,2025-08-02,2025-08-05,3.0,"spa, fra, por","Spanish, French, Portuguese"
TWN,Taiwan (Province of China),Eastern Asia,Asia,,,2025-07-28,2025-08-04,7.0,cmn,Mandarin Chinese
ROU,Romania,Eastern Europe,Europe,"Suceava, Neamt counties",,2025-07-28,2025-07-28,0.0,ron,Romanian
NGA,Nigeria,Sub-Saharan Africa,Africa,Yola (Adamawa State),,2025-07-27,2025-07-27,0.0,"eng, hau, ibo, yor","English, Hausa, Igbo, Yoruba"
CHN,China,Eastern Asia,Asia,"Yanqing, Beijing, Hebei province, Shanxi province, Shandong province.",,2025-07-23,2025-07-29,6.0,cmn,Mandarin Chinese
HKG,"China, Hong Kong Special Administrative Region",Eastern Asia,Asia,,,2025-07-20,2025-07-20,0.0,"yue, eng","Yue Chinese, English"
LAO,Lao People's Democratic Republic,South-eastern Asia,Asia,"Vientiane, Bolikhamxay, Luang Prabang, Xayaboury, Xieng Khouang, Huaphan, Xaysomboun, Khammouane, and Bokeo",,2025-07-16,2025-08-04,19.0,lao,Lao
KOR,Republic of Korea,Eastern Asia,Asia,"South Chungcheong , Naju, Gwangju, Seoul, Honseong, and Gyeonggi Provinces",,2025-07-16,2025-07-21,5.0,kor,Korean
MEX,Mexico,Latin America and the Caribbean,Americas,La Martinica (Jalisco State),,2025-07-15,2025-07-15,0.0,spa,Spanish
USA,United States of America,Northern America,Americas,"New York; Middlesex, Union, and Somerset (New Jersey); Washington DC, Petersburg (Virginia); Maryland, for Lancaster County (Pennsylvania)",,2025-07-11,2025-07-15,4.0,eng,English
USA,United States of America,Northern America,Americas,Ruidoso (New Mexico),Rio Ruidoso river,2025-07-08,2025-07-08,0.0,eng,English
BGD,Bangladesh,Southern Asia,Asia,"Feni, Cumilla, Banderban, Lakshmipur and Barishal",,2025-07-07,2025-07-10,3.0,ben,Bengali
IDN,Indonesia,South-eastern Asia,Asia,"Bogor, West Java and East Jakarta",,2025-07-05,2025-07-06,1.0,ind,Indonesian
USA,United States of America,Northern America,Americas,Kerr county (Texas),Guadalupe,2025-07-04,2025-07-07,3.0,eng,English
AFG,Afghanistan,Southern Asia,Asia,Maidan Wardak and Logar provinces,,2025-06-30,2025-07-04,4.0,"prs, pus","Dari, Pashto"
PAK,Pakistan,Southern Asia,Asia,"Khyber Pakhtunkhwa, Punjab, Azad Jammu and Kashmir, Sindh, and Balochistan",Swat river,2025-06-26,2025-09-11,77.0,"urd, eng","Urdu, English"
IND,India,Southern Asia,Asia,"Himachal Pradesh, Uttarakhand",,2025-06-20,2025-07-07,17.0,"hin, eng","Hindi, English"
COD,Democratic Republic of the Congo,Sub-Saharan Africa,Africa,"Ngaliema, Masina, Lemba, Matete communes (Kinshasa)",,2025-06-14,2025-06-16,2.0,"fra, lin, swa, kon, lua","French, Lingala, Swahili, Kongo, Luba-Kasai"
ZAF,South Africa,Sub-Saharan Africa,Africa,Eastern Cape and KwaZulu-Natal provinces,,2025-06-09,2025-06-20,11.0,"eng, afr, zul, xho","English, Afrikaans, Zulu, Xhosa"
USA,United States of America,Northern America,Americas,San Antonio (Texas),,2025-06-08,2025-06-14,6.0,eng,English
VNM,Viet Nam,South-eastern Asia,Asia,"Lai Châu, Hà Giang, and Lào Cai",,2025-06-07,2025-06-11,4.0,vie,Vietnamese
PHL,Philippines,South-eastern Asia,Asia,Zamboanga Peninsula region (Mindanao) and Luzon islands,,2025-06-07,2025-06-09,2.0,"tgl, eng","Tagalog, English"
IND,India,Southern Asia,Asia,"Assam, Arunachal Pradesh, Mizoram, Manipur, Sikkim, Meghalaya Nagaland, Tripura, Meghalaya states",,2025-05-31,2025-06-01,1.0,"hin, eng","Hindi, English"
NGA,Nigeria,Sub-Saharan Africa,Africa,Mokwa city (Niger state),,2025-05-29,2025-06-02,4.0,"eng, hau, ibo, yor","English, Hausa, Igbo, Yoruba"
THA,Thailand,South-eastern Asia,Asia,,,2025-05-24,2025-05-24,0.0,tha,Thai
IDN,Indonesia,South-eastern Asia,Asia,Arfak Mountains Regency (West Papua),,2025-05-16,2025-05-16,0.0,ind,Indonesian
BGD,Bangladesh,Southern Asia,Asia,"Sylhet, Sunamganj, Moulvibazar, Netrokona, Khagrachari, Habiganj, Noakhali, Bhola, Bandarban, and Rangamati.",,2025-05-15,2025-06-01,17.0,ben,Bengali
TZA,United Republic of Tanzania,Sub-Saharan Africa,Africa,"Kyela, Rungwe, and Ileje districts (Mbeya Region)",,2025-05-14,2025-05-15,1.0,"swa, eng","Swahili, English"
DZA,Algeria,Northern Africa,Africa,"Laghouat, Tiaret, Djelfa, M'Sila",,2025-05-14,2025-05-16,2.0,arb,Arabic
THA,Thailand,South-eastern Asia,Asia,"Nakhon Sawan, Phichit, Phitsanulok, Phetchabun, Kalasin, Amnat Charoen, Nakhon Ratchasima, and Sa Kaeo provinces",,2025-05-14,2025-05-14,0.0,tha,Thai
SOM,Somalia,Sub-Saharan Africa,Africa,"Kahda and Daynile districts; Mogadiscio (Banaadir region); Balcad and Jowhar in Hirshabelle State, and Gaalkacyo in Mudug region and Afgooye (South West State); Puntland State",,2025-05-09,2025-05-10,1.0,"som, arb","Somali, Arabic"
COD,Democratic Republic of the Congo,Sub-Saharan Africa,Africa,Kasaba (South Kivu),"Kasaba river, Tanganyika lake",2025-05-08,2025-05-09,1.0,"fra, lin, swa, kon, lua","French, Lingala, Swahili, Kongo, Luba-Kasai"
IDN,Indonesia,South-eastern Asia,Asia,Lampung Province (southern Sumatra),,2025-04-28,2025-04-28,0.0,ind,Indonesian
SOM,Somalia,Sub-Saharan Africa,Africa,"Puntland and South West States; Jowhar district, Middle Shabelle region",Shabelle and Juba rivers,2025-04-15,2025-04-30,15.0,"som, arb","Somali, Arabic"
COD,Democratic Republic of the Congo,Sub-Saharan Africa,Africa,Tanganyika Province,Rugumba River,2025-04-11,2025-04-11,0.0,"fra, lin, swa, kon, lua","French, Lingala, Swahili, Kongo, Luba-Kasai"
COD,Democratic Republic of the Congo,Sub-Saharan Africa,Africa,Kinshasa capital city,Ndjili river,2025-04-04,2025-04-11,7.0,"fra, lin, swa, kon, lua","French, Lingala, Swahili, Kongo, Luba-Kasai"
BRA,Brazil,Latin America and the Caribbean,Americas,"Petrópolis, Angra dos Reis, São Paulo, Rio de Janeiro",,2025-04-03,2025-04-05,2.0,por,Portuguese
IDN,Indonesia,South-eastern Asia,Asia,"Sulawesi, north Sumatra, north Maluku and east Java,",,2025-04-01,2025-04-07,6.0,ind,Indonesian
HRV,Croatia,Southern Europe,Europe,Dubrovnik city area,,2025-03-26,2025-03-31,5.0,hrv,Croatian
BIH,Bosnia and Herzegovina,Southern Europe,Europe,Prijedor and Sanski (Slavonia region),"Bosna, Una, Sava, Sana, Ukrina rivers",2025-03-26,2025-03-31,5.0,"bos, hrv, srp","Bosnian, Croatian, Serbian"
MYS,Malaysia,South-eastern Asia,Asia,"Johor Bahru, Kulai, Pontian, Kota Tinggi, Kluang, Batu Pahat, and Iskandar Puteri (Johor state); Sabah and Sarawak states",,2025-03-20,2025-03-21,1.0,zlm,Malay
IDN,Indonesia,South-eastern Asia,Asia,Madiun regency (East Java); West Java,,2025-03-15,2025-03-17,2.0,ind,Indonesian
ITA,Italy,Southern Europe,Europe,"Florence, Prato, Pisa, and Livorno (Toscane); Emilia-Romagna",,2025-03-14,2025-03-16,2.0,ita,Italian
MYS,Malaysia,South-eastern Asia,Asia,"Tenom, Beaufort, Membakut, and Soo (Sabah, northern Borneo Island)",,2025-03-08,2025-03-12,4.0,zlm,Malay
IRQ,Iraq,Western Asia,Asia,"Anbar, Diyala, Erbil, Qadisiyah, Thi-Qar",,2025-03-07,2025-03-10,3.0,"arb, ckb","Arabic, Central Kurdish"
ARG,Argentina,Latin America and the Caribbean,Americas,Bahia Blanca city area (Buenos Aires province),,2025-03-06,2025-03-10,4.0,spa,Spanish
IDN,Indonesia,South-eastern Asia,Asia,"Bogor regency (West Java province); Sukabumi Regency (West Java) ; Banten, Jakarta, West Java, South Kalimantan, West Sumatra provinces","Ciliwung, Cikeas, Cilengsih and Kali Angke rivers",2025-03-02,2025-03-09,7.0,ind,Indonesian
PER,Peru,Latin America and the Caribbean,Americas,"Amazonas, Áncash, Apurímac, Arequipa, Ayacucho, Cusco, Huancavelica, Huánuco, Ica, Junín, La Libertad, Lima, Moquegua, Pasco, Piura, Tacna, Tumbes, and Ucayali provinces",,2025-03-01,2025-03-06,5.0,"spa, que, ayu","Spanish, Quechua, Aymara"
NAM,Namibia,Sub-Saharan Africa,Africa,"Kunene, Omusati, Oshana, Ohangwena, and Zambezi regions",,2025-03-01,2025-04-08,38.0,"eng, afr, deu","English, Afrikaans, German"
AFG,Afghanistan,Southern Asia,Asia,Farah region; Pushtkoh district; Kandahar province; Helmand province,,2025-02-24,2025-02-26,2.0,"prs, pus","Dari, Pashto"
BWA,Botswana,Sub-Saharan Africa,Africa,"Gaborone city area, Kgatleng, Ghanzi, Tlokweng (South-East), Francistown, Kweneng, and Boteti,",,2025-02-19,2025-02-21,2.0,"eng, tsn","English, Tswana"
MYS,Malaysia,South-eastern Asia,Asia,Pahang and Negeri Sembilan states,,2025-02-19,2025-02-20,1.0,zlm,Malay
PER,Peru,Latin America and the Caribbean,Americas,Tiquillaca district (Puno region),,2025-02-17,2025-02-21,4.0,"spa, que, ayu","Spanish, Quechua, Aymara"
MDG,Madagascar,Sub-Saharan Africa,Africa,Analamanga region,Sisaony and the Ikopa rivers,2025-02-15,2025-02-28,13.0,"mlg, fra","Malagasy, French"
MDG,Madagascar,Sub-Saharan Africa,Africa,Antananarivo city area,Sisaony River,2025-02-15,2025-02-16,1.0,"mlg, fra","Malagasy, French"
PHL,Philippines,South-eastern Asia,Asia,"Mimaropa, Eastern Visayas, and Bicol regions",,2025-02-07,2025-02-19,12.0,"tgl, eng","Tagalog, English"
BOL,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,"Chuquisaca, La Paz, Tarija, Cochabamba, Santa Cruz and Potosí",,2025-02-05,2025-02-13,8.0,"spa, ayu, que","Spanish, Aymara, Quechua"
MYS,Malaysia,South-eastern Asia,Asia,Sabah and Sarawak states,,2025-01-28,2025-01-30,2.0,zlm,Malay
BRA,Brazil,Latin America and the Caribbean,Americas,Carapicuíba (São Paulo state),,2025-01-24,2025-01-25,1.0,por,Portuguese
HTI,Haiti,Latin America and the Caribbean,Americas,"Grand'Anse, Nippes and North-West departments",,2024-12-20,2024-12-28,8.0,"hat, fra","Haitian Creole, French"
LBY,Libya,Northern Africa,Africa,"Tarhuna city, Bani Walid city, Bani Walid district, Gharyan city, Jabal al Gharbi district, Qasr Akhyar, Ain Zara",,2024-12-05,2024-12-09,4.0,arb,Arabic
IDN,Indonesia,South-eastern Asia,Asia,Sukabumi regency (West Java province),,2024-12-03,2024-12-10,7.0,ind,Indonesian
KEN,Kenya,Sub-Saharan Africa,Africa,,"Nzoia, Nyando, Yala, Miriu and Awach rivers",2024-12-01,2024-12-05,4.0,"eng, swa","English, Swahili"
HTI,Haiti,Latin America and the Caribbean,Americas,Grand-Anse department and the South department,,2024-11-30,2024-12-04,4.0,"hat, fra","Haitian Creole, French"
MWI,Malawi,Sub-Saharan Africa,Africa,,,2024-11-27,2024-12-06,9.0,"eng, nya","English, Nyanja"
GAB,Gabon,Sub-Saharan Africa,Africa,"Mouila (Ngounié Province), Port-Gentil (Ogooué-Maritime Province), Tchibanga (Nyanga Province) and Grand Libreville (Estuaire Province)",,2024-11-25,2024-11-27,2.0,fra,French
THA,Thailand,South-eastern Asia,Asia,"Chumphon, Phatthalung, Ranong, Satun, Surat Thani, Nakhon Si Thammarat, Songkhla, Pattani, Narathiwat, and Yala provinces",,2024-11-25,2024-12-15,20.0,tha,Thai
TZA,United Republic of Tanzania,Sub-Saharan Africa,Africa,Tarime district (Mara region),,2024-11-25,2024-11-27,2.0,"swa, eng","Swahili, English"
IDN,Indonesia,South-eastern Asia,Asia,"Karo, South Tapanuli, Padang Lawas and Deli Serdang districts (North Sumatra province)",,2024-11-23,2024-11-26,3.0,ind,Indonesian
BOL,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,La Paz capital city area,Pasajahuira river,2024-11-23,2024-11-24,1.0,"spa, ayu, que","Spanish, Aymara, Quechua"
ESP,Spain,Southern Europe,Europe,"Álora, Cártama, Alhaurín de la Torre, Pizarra municipalities and Malaga city (Malaga); Catalonia province",Campanillas and Guadalhorce rivers,2024-11-13,2024-11-14,1.0,spa,Spanish
CRI,Costa Rica,Latin America and the Caribbean,Americas,"Guanacaste, Puntarenas",,2024-11-12,2024-11-26,14.0,spa,Spanish
DOM,Dominican Republic,Latin America and the Caribbean,Americas,"Duarte, El Seibo, Espaillat, Hato Mayor, La Altagracia, Maria Trinidad Sanches, Puerto Plata, Samanà",,2024-11-10,2024-11-12,2.0,spa,Spanish
HTI,Haiti,Latin America and the Caribbean,Americas,"Les Cayes, Torbeck, Saint-Louis-du-Sud, Maniche and Port-Salut municipalities",,2024-11-10,2024-11-12,2.0,"hat, fra","Haitian Creole, French"
ESP,Spain,Southern Europe,Europe,"Alaquàs, Albal, Aldaya, Alfafar, Algemesí, Benerússer, Catarroja, Llocnou de la Corona, Massanassa, Paiporta, Picanya, Sedaví, Utiel and La Torre municipalties (Valencia);, Letur, lbacete provinces; Castilla-La Mancha communities, Andalusia, Murcia, and the Balearic Islands, Catalonia",,2024-10-27,2024-11-04,8.0,spa,Spanish
ZAF,South Africa,Sub-Saharan Africa,Africa,Eastern Cape province,,2024-10-22,2024-10-25,3.0,"eng, afr, zul, xho","English, Afrikaans, Zulu, Xhosa"
USA,United States of America,Northern America,Americas,"Roswell (Chaves county, Eastern New Mexico)",,2024-10-18,2024-10-20,2.0,eng,English
FRA,France,Western Europe,Europe,"Rhône, Loire, Haute-Loire, Lozère, Ardèche, Alpes-Maritimes, Paris area",,2024-10-17,2024-10-18,1.0,fra,French
BGD,Bangladesh,Southern Asia,Asia,Sherpur district (Mymensingh and Sindh divisions),,2024-10-05,2024-10-10,5.0,ben,Bengali
IND,India,Southern Asia,Asia,Meghalaya,,2024-10-04,2024-10-07,3.0,"hin, eng","Hindi, English"
BIH,Bosnia and Herzegovina,Southern Europe,Europe,"Donja Jablanica, Konjic, Buturovic polje, Fojnica, Kiseljak and Kreševo",Neretva River,2024-10-03,2024-10-04,1.0,"bos, hrv, srp","Bosnian, Croatian, Serbian"
IRN,Iran (Islamic Republic of),Southern Asia,Asia,Jiroft (Kerman province),Halil river,2024-09-30,2024-10-02,2.0,fas,Persian
NPL,Nepal,Southern Asia,Asia,"Kathmandu, Kavrepalanchowk, Lalitpur, Bagmati, Gandak",,2024-09-26,2024-10-08,12.0,npi,Nepali
SLE,Sierra Leone,Sub-Saharan Africa,Africa,"Bumbuna dam in Bumbuna town (Tonkolili District, Northern province), Bo, Bonthe, Bombali, Falaba, Kambia, Moyamba, Port Loko, Pujehun, and the Western Area districts",,2024-09-23,2024-10-08,15.0,"eng, men, tem","English, Mende, Temne"
NGA,Nigeria,Sub-Saharan Africa,Africa,Maiduguri (Borno state),,2024-09-07,2024-09-09,2.0,"eng, hau, ibo, yor","English, Hausa, Igbo, Yoruba"
MAR,Morocco,Northern Africa,Africa,"Tata, Tiznit, Errachidia, Tinghir and Taroudant provinces",,2024-09-06,2024-09-09,3.0,"arb, ber","Arabic, Berber"
DZA,Algeria,Northern Africa,Africa,"Béchar, Elbayadh, Beni Abbes, Tamanrasset, Tiaret, Tindouf, and Naama",,2024-09-05,2024-09-09,4.0,arb,Arabic
YEM,Yemen,Western Asia,Asia,Al-Mahwit governorate,,2024-08-27,2024-08-29,2.0,arb,Arabic
IND,India,Southern Asia,Asia,"Gujarat, Maharashtra, Tripura States",,2024-08-26,2024-08-27,1.0,"hin, eng","Hindi, English"
IDN,Indonesia,South-eastern Asia,Asia,Ternate regency (North Maluku province),,2024-08-25,2024-08-26,1.0,ind,Indonesian
NGA,Nigeria,Sub-Saharan Africa,Africa,"Adamawa, Borno, Bauchi, Sokoto, Zamfara and Jigawa states",,2024-08-20,,,"eng, hau, ibo, yor","English, Hausa, Igbo, Yoruba"
BGD,Bangladesh,Southern Asia,Asia,"Lakshmipur, Cumilla, Feni, and Noakhali districts",,2024-08-19,2024-09-03,15.0,ben,Bengali
IND,India,Southern Asia,Asia,Tripura state,,2024-08-19,2024-08-23,4.0,"hin, eng","Hindi, English"
CAF,Central African Republic,Sub-Saharan Africa,Africa,"Mbomou, Moyenne-Sido prefectures",,2024-08-18,,,"fra, sag","French, Sango"
THA,Thailand,South-eastern Asia,Asia,"Phetchabun, Chiang Rai, Chiang Mai, Nan, Phayao, Lampang, Phrae, Udon Thani, Rayong, Phuket, Sukhothai and Prae provinces",,2024-08-16,2024-08-26,10.0,tha,Thai
CHN,China,Eastern Asia,Asia,"Ridi Village (Kangding county, Garzê Tibetan Autonomous Prefecture, Sichuan province)",,2024-08-03,2024-08-04,1.0,cmn,Mandarin Chinese
CMR,Cameroon,Sub-Saharan Africa,Africa,Logone et Chari and the Mayo-Danay Divisions (Far North Region ),,2024-08-01,2024-09-30,60.0,"fra, eng","French, English"
TCD,Chad,Sub-Saharan Africa,Africa,"Batha, Chari-Baguirmi, Logone Oriental, Mayo-Kebbi Ouest, Sila, Logone Occidental, N'Djamena city, Lake, Kanem; Tibesti, Lac, Mayo-Kebbi Est, Mandoul, Tandjilé, Batah, Guera, Salamat, Ennedi West, Borkou, Ennedi East",,2024-08-01,2024-09-30,60.0,"fra, arb","French, Arabic"
IND,India,Southern Asia,Asia,"Mandi, Kullu, Shimla districts (Himachal Pradesh)",,2024-07-31,2024-08-23,23.0,"hin, eng","Hindi, English"
