Flood_ID,DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,GADM Admin Units,Entry Date,Last Update,Start Date,End Date,Duration
40,2025-0725-COD,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,COD,Democratic Republic of the Congo,Sub-Saharan Africa,Africa,Kalehe territory (South Kivu province),Heavy rain,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,13.0,12.0,,2000.0,2012.0,,,,,,,,,,2025-08-27,2026-02-02,2025-08-25,2025-08-27,2
41,2025-0719-UGA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,UGA,Uganda,Sub-Saharan Africa,Africa,"Bulambuli, Sironko, Mbale districts and Mbale city (Mount Elgon sub-region in Eastern Uganda)",Heavy rain,,No,No,No,,,Km2,,,,5.0,50.0,15000.0,,15050.0,,,,,,,,,,2025-08-26,2026-02-02,2025-08-17,2025-08-19,2
42,2025-0691-CHN,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,CHN,China,Eastern Asia,Asia,"Ordos, Bayannnur city (Inner Mongolia autonomous region)",Heavy rain,,No,No,No,,,Km2,,,,18.0,,,,,,,,,,,,,,2025-08-19,2025-08-27,2025-08-16,2025-08-19,3
43,2025-0751-IND,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,Punjab state,Monsoon rain,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,52.0,,400000.0,,400000.0,,,,,,,,,,2025-09-01,2025-09-26,2025-08-15,2025-09-19,35
44,2025-0685-PAK,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FL-2025-000139,,PAK,Pakistan,Southern Asia,Asia,"Bunner, Bhattagram, Bajur, and Swat districts (Khyber Pakhtunkhwa) Gilgit-Baltistan, Sindh, Azad Jammu and Kashmir provinces",Monsoon rain,,No,No,No,,,Km2,,,,355.0,347.0,20500.0,,20847.0,,,,,,,,,,2025-08-19,2025-12-12,2025-08-15,2025-08-20,5
45,2025-0690-IND,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,IND,India,Southern Asia,Asia,Kishtwar (Jammu and Kashmir state),Heavy rain,Lightening,No,No,No,,,Km2,,,,61.0,300.0,,,300.0,,,,,,,,,,2025-08-19,2025-08-27,2025-08-14,2025-08-15,1
46,2025-0687-KOR,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,KOR,Republic of Korea,Eastern Asia,Asia,"Incheon, Gimpo, and Pocheon cities (Gyeonggi Province); Seoul",Torrential rainfall,,No,No,No,,,Km2,,,,3.0,,1000.0,,1000.0,,,,,20000.0,,,,,2025-08-19,2026-02-04,2025-08-13,2025-08-19,6
47,2025-0716-CAF,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,CAF,Central African Republic,Sub-Saharan Africa,Africa,Moyenne Sido (prefecture of Ouham),Heavy rain,,No,No,No,,,Km2,,,,,,2500.0,,2500.0,,,,,,,,,,2025-08-26,2025-09-01,2025-08-12,2025-08-19,7
48,2025-0667-CPV,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,GLIDE:FL-2025-000147,,CPV,Cabo Verde,Sub-Saharan Africa,Africa,São Vicente and Santo Antão Islands,Heavy rain from tropical depression (Tropical Storm Erin),"Slide (land, mud, snow, rock)",No,No,Yes,,,Km2,,,,17.0,,119000.0,,119000.0,,,,,,,,,,2025-08-12,2025-08-28,2025-08-10,2025-08-11,1
49,2025-0670-CHN,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,CHN,China,Eastern Asia,Asia,Yuzhong county (Gansu province),Heavy rain,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,48.0,,181.0,,181.0,,,,,,,,,,2025-08-12,2025-08-20,2025-08-07,2025-08-08,1
